"X817_T","X845_B","X845_T","X858_B","X858_T","X867_B","X867_T","X899_B","X899_T","X817_B","TU0049_CD4_HC","TU0049_CD8_HC","TU0051_CD4_HC","TU0051_CD8_HC","TU0054_CD4_HC","TU0054_CD8_HC","XT0130_CD4_HC","XT0130_CD8_HC","XT0133_CD4_HC","XT0133_CD8_HC","XT0108_CD4_HC","XT0108_CD8_HC","XT0115_CD4_HC","XT0115_CD8_HC","XT0127_CD4_HC","XT0127_CD8_HC","XT0131_CD4_HC","XT0131_CD8_HC","XT0141_CD4_HC","XT0141_CD8_HC"
5.77,0.82,5.93,0.05,5.82,0.38,4.67,0.93,8.18,0.06,6.92,0.2,5.2,1.91,0.48,0.28,9.15,0.21,11.04,1.44,4.05,2.68,1.41,0.49,4.54,1.82,7.28,0.89,3.19,0.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0.43,0,0,0,0,0,0,0.25,0,0.11,0,0,0
79.65,71.8,86.93,76.71,77.53,78.71,75.87,122.1,145.82,63.16,79.01,79.11,64.71,57.99,71.12,73.31,88.2,88.17,79.46,116.21,80.98,73.14,78.25,84.62,90.87,83.56,83.89,83.43,97.46,124.56
30.77,33.17,32.99,33.72,35.77,33.1,36.27,16.68,21.02,30.04,33.81,15.24,36.71,30.37,25.43,37.21,51.6,40.01,30.35,22.87,45.97,24.53,39.45,32.7,17.77,17.25,33.19,23.49,25.66,20.76
7.17,12.68,8.29,10.94,7.85,10.67,7.89,5.69,5.17,11.74,7.43,12.41,11.78,10.52,11.21,6.94,9.9,8.8,10.06,4.92,11.19,7.68,16.06,11.43,8.7,6.32,4.43,5.76,3.19,8.4
50.07,132.15,22.91,117.76,18.38,143.96,25,60.68,1,204.48,8.07,130.77,59.62,182.57,40.02,200.37,39.05,238.65,6.46,90.46,5,101.1,2.31,117.44,5.17,85.86,8.98,168.52,22.6,96.37
34.87,4.05,30.15,2.67,50.02,0.05,17.11,0,15.93,0.06,49.17,35.12,35.43,18.05,6.99,0.28,1.32,0.11,14.72,7.28,9.53,36.57,0.51,9,0.25,0.38,4.77,21.72,13.3,19.02
15.74,16.91,18.55,19.21,12.68,21.1,15.03,19.48,10.93,25.35,30.09,23.61,18.25,18.41,17.96,12.91,12.64,10.51,15.53,15.08,10.72,23.05,25.06,19.21,15.88,12.84,16.94,17.17,11.7,16.41
22.8,24.54,22.95,29.61,24.31,22.52,24.41,14.73,11.85,21.44,14.98,26.24,24.61,29.77,18.2,32.21,15.38,24.03,19.48,33.23,9.05,25.55,22.36,18.11,11.22,29.32,17.96,22.6,19.28,18.35
39.5,46.14,38.88,47.42,60.72,36.89,49.73,33.74,36.96,45.19,59.55,54.79,48.59,38.02,48.7,46.65,27.92,45.16,33.85,32.72,55.97,21.76,46.26,47.29,53.31,34.4,45.36,38.34,46,34.47
138.12,88.59,144.35,79.06,160.88,95.55,171.16,53.59,88.51,78.1,167.37,54.99,125.07,73.65,88.24,58.74,164.23,82.05,172.66,85.64,151.49,95.92,139.28,53.13,156.91,83.65,173.92,59.61,120.06,62.09
56.59,57.12,51.36,57.59,64.85,62.36,58.36,60.96,60.48,63.55,52.89,49.95,52.41,56.79,55.69,57.76,65.09,68.54,58.09,41.85,50.73,55,68.74,71.37,53.94,59.51,58.2,61.94,53.85,68.46
111.29,56.71,58.04,49.95,58.74,44.53,42.62,62.73,27.2,89.29,32.01,92.83,62.17,92.54,41.95,90.53,41.51,96.32,27.2,82.46,40.02,66.75,33.15,83.28,26.72,56.92,41.38,69.91,38.82,73.09
0,0,0,0.05,0.06,0.05,0,0,0.25,0,0,0.2,0,0,0.12,0,0.09,0.21,0.18,0,0,0,0,0,0,0.1,0,0,0,0
0,0,0,0,0,0,0.27,0,0,0,0.26,0,0,0,0,0.14,0,0.32,0.18,0.31,0,0.19,0,0,0.38,0,0.11,0.22,0.27,0.1
77.98,64.81,82.3,76.49,81.66,73.36,74.49,61.33,71.41,71.59,60.96,67.51,79.99,65.16,69.8,62.35,62.64,71.97,72.01,86.97,75.74,79.07,76.07,75.26,85.7,78,49.11,78.45,64.09,76.67
