"","Cell_type...128","predicted_RF","predicted_KNN","predicted_XGB","predicted_NB","all_predictions_same"
"X817_T","Controls","Controls","Controls","Controls","Controls",TRUE
"X845_B","Controls","Controls","Controls","Controls","Controls",TRUE
"X845_T","Controls","Controls","Controls","Controls","Controls",TRUE
"X858_B","Controls","Controls","Controls","Controls","Controls",TRUE
"X858_T","Controls","Controls","Controls","Controls","Controls",TRUE
"X867_B","Controls","Controls","Controls","Controls","Controls",TRUE
"X867_T","Controls","Controls","Controls","Controls","Controls",TRUE
"X899_B","Controls","Controls","Controls","Controls","Controls",TRUE
"X899_T","Controls","Controls","Controls","Controls","Controls",TRUE
"X817_B","Controls","Controls","Controls","Controls","Controls",TRUE
"TU0049_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"TU0049_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"TU0051_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"TU0051_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"TU0054_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"TU0054_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0130_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0130_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0133_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0133_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0108_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0108_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0115_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0115_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0127_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0127_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0131_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0131_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0141_CD4_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"XT0141_CD8_HC","Controls","Controls","Controls","Controls","Controls",TRUE
"ALL33","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell",FALSE
"ALL2","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell",FALSE
"ALL3","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL18","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL14","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"ALL4","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
