"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Prednisolone-184 mg/kg in Water-Rat-Heart-5d-up","13/257",0.00702810121561085,0.999965725944956,0,0,2.28944101646646,11.3506792888196,"CLIC5;ZCCHC7;GLDC;CHD7;SOCS2;KLF9;PDK4;SERPINI2;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
"2","Clomipramine-115 mg/kg in Water-Rat-Heart-1d-up","13/260",0.00771290264892986,0.999965725944956,0,0,2.2612823819013,11.0008237546738,"ZCCHC7;GLDC;CHD7;SOCS2;EDNRB;KLF9;PDK4;SERPINI2;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
"3","Theophylline-225 mg/kg in Water-Rat-Heart-5d-up","13/272",0.0109946669417582,0.999965725944956,0,0,2.15517107944725,9.72056498859076,"CDKN1A;GLDC;HTRA3;KCNA5;GPC1;KLF9;PDK4;SERPINI2;CSPG4;TCF4;SCN4A;KCNK3;RAI14"
"4","Clomipramine-115 mg/kg in Water-Rat-Heart-3d-up","13/280",0.0137246891297308,0.999965725944956,0,0,2.08972915259044,8.96192664322253,"CLIC5;ZCCHC7;CDKN1A;GLDC;CHD7;SOCS2;KLF9;PDK4;SERPINI2;TCF4;SCN4A;KCNK3;RAI14"
"5","Alfacalcidol-0.043 mg/kg in CMC-Rat-Heart-3d-up","13/283",0.014872846578169,0.999965725944956,0,0,2.06618823723501,8.69497075009795,"CDKN1A;CHD7;PDLIM1;EDNRB;COL4A1;KLF9;PDK4;SERPINI2;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
"6","Irinotecan-5 mg/kg in Saline-Rat-Heart-5d-up","14/316",0.015675389252011,0.999965725944956,0,0,1.99048013245033,8.27176535544536,"CD74;CDKN1A;HTRA3;DDIT4L;PDLIM1;S100A16;COL4A1;IRAK2;GPC1;KLF9;PDK4;SCN4A;KCNK3;RAI14"
"7","Clofibric Acid-448 mg/kg in Corn Oil-Rat-Heart-3d-up","14/317",0.0160670040276742,0.999965725944956,0,0,1.98380775577558,8.19508513919675,"ZCCHC7;GLDC;EBF1;PDLIM1;EDNRB;S100A16;KLF9;PDK4;SERPINI2;TCF4;SCN4A;CRYM;KCNK3;GSTM5"
"8","Clofibric Acid-448 mg/kg in Corn Oil-Rat-Heart-5d-up","13/288",0.0169479200297148,0.999965725944956,0,0,2.02809475602349,8.26977979233215,"CDKN1A;GLDC;EBF1;DDIT4L;EDNRB;S100A16;KLF9;PDK4;SERPINI2;TCF4;SCN4A;KCNK3;RAI14"
"9","Terazosin-657 mg/kg in Water-Rat-Heart-3d-dn","13/293",0.0192356703339907,0.999965725944956,0,0,1.99136175628381,7.86784818238544,"CD74;S100A1;DDIT4L;EEF1G;S100A16;COL4A1;GPC1;PACSIN3;CSPG4;TCF4;SCN4A;KCNK3;RAI14"
"10","Vinorelbine-1.5 mg/kg in Saline-Rat-Heart-3d-up","13/295",0.0202131011620025,0.999965725944956,0,0,1.97703328120804,7.71324570978987,"ZCCHC7;GLDC;CHD7;EBF1;EDNRB;MAP1B;KLF9;PDK4;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
"11","Gatifloxacin-770 mg/kg in Corn Oil-Rat-Heart-5d-up","12/269",0.0230490628079092,0.999965725944956,0,0,2.00062256809339,7.54260750166933,"SOCS2;CLIC5;EDNRB;CHD7;KLF9;PDK4;SERPINI2;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
"12","Clofibric Acid-448 mg/kg in Corn Oil-Rat-Heart-1d-up","12/274",0.0261058305127139,0.999965725944956,0,0,1.96193384223919,7.15241934137622,"SOCS2;ZCCHC7;EDNRB;GLDC;KLF9;PDK4;EBF1;SERPINI2;TCF4;SCN4A;KCNK3;RAI14"
"13","Oxymetazoline-0.5 mg/kg in Water-Rat-Heart-5d-up","12/275",0.0267510911443399,0.999965725944956,0,0,1.95437262357414,7.07713508836167,"SOCS2;ZCCHC7;GLDC;MAP1B;KLF9;EBF1;SERPINI2;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
"14","Alfacalcidol-0.043 mg/kg in CMC-Rat-Heart-5d-up","12/276",0.0274079035460841,0.999965725944956,0,0,1.94686868686869,7.00273842545571,"EDNRB;GLDC;GPC1;CHD7;KLF9;PDK4;PDE4B;DDIT4L;TCF4;SCN4A;KCNK3;RAI14"
"15","Ifosfamide-143 mg/kg in Saline-Rat-Bone marrow-3d-up","13/311",0.0294218398804774,0.999965725944956,0,0,1.86932930748419,6.59128883722205,"CD74;CDKN1A;FST;EEF1G;PDLIM1;S100A16;COL4A1;NPY;GPC1;S100A13;SLC27A3;CRYM;ADAMTS9"
"16","Ethosuximide-1200 mg/kg in Water-Rat-Heart-3d-up","12/281",0.0308688862920478,0.999965725944956,0,0,1.91018587360595,6.6436389198984,"SOCS2;EDNRB;GLDC;GPC1;CHD7;KLF9;PDK4;PDE4B;TCF4;SCN4A;KCNK3;RAI14"
