"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Doxorubicin-3 mg/kg in Saline-Rat-Spleen-1d-up","14/295",0.0127083222230283,0.999865496565294,0,0,2.04792103902424,8.94019562388991,"SPON2;ANXA1;TCF7;FGL2;DSTN;HMGA2;ETS1;GJA1;CD8A;LCK;ACP5;PTPN7;LAT;MYO1G"
"2","Doxorubicin-0.65 mg/kg in Saline-Rat-Spleen-3d-up","14/306",0.0169562727403958,0.999865496565294,0,0,1.96964641142723,8.03047973552249,"SPON2;ANXA1;DSTN;HMGA2;ETS1;GJA1;SBK1;CD8A;LCK;CD5;ACP5;PTPN7;LAT;MYO1G"
"3","Lead(IV) Acetate-600 mg/kg in Saline-Rat-Kidney-1d-dn","11/229",0.0235163610542293,0.999865496565294,0,0,2.06762889810865,7.7537301202428,"DPP4;ENPEP;IGFBP5;DST;FXYD2;EPHX2;TCEA3;MGST1;HMGA2;SLC4A4;XYLB"
"4","Minoxidil-83 mg/kg in CMC-Rat-Heart-5d-up","13/312",0.0400983476554983,0.999865496565294,0,0,1.78168165384259,5.730636774295,"ANXA1;IGFBP5;DST;VWF;FGL2;DSTN;ATP1B1;FSTL1;ETS1;FBLN2;GJA1;FXYD2;SCN7A"
"5","Mitomycin C-1.7 mg/kg in Saline-Rat-Bone marrow-5d-up","12/283",0.042408982616151,0.999865496565294,0,0,1.81333123969538,5.73084313746035,"CPA3;SPON2;ANXA1;VWF;KYNU;ALDH1A2;TCF7;FGL2;MGST1;ARHGEF3;PTPN7;LAT"
"6","Ifosfamide-17 mg/kg in Saline-Rat-Spleen-3d-up","12/287",0.0463037062362891,0.999865496565294,0,0,1.78658413926499,5.48933921253711,"ANXA1;VWF;CD8A;LCK;CD5;TCF7;FGL2;DSTN;HMGA2;PTPN7;ETS1;MYO1G"
"7","Tobramycin-40 mg/kg in Saline-Rat-Kidney-28d-dn","12/289",0.0483407349453474,0.999865496565294,0,0,1.77350026883785,5.37278483616154,"DPP4;ENPEP;ANXA1;IGFBP5;DST;FXYD2;EPHX2;EHHADH;TCEA3;ATP1B1;SLC4A4;XYLB"
"8","Vecuronium Bromide-0.05 mg/kg in Saline-Rat-Liver-1d-up","11/260",0.051216224706443,0.999865496565294,0,0,1.807305655744,5.37076824420682,"DPP4;ENPEP;DST;EPHX2;KYNU;EHHADH;MGST1;ARHGEF3;DSTN;HMGA2;ATP1B1"
"9","Gatifloxacin-770 mg/kg in Corn Oil-Rat-Kidney-1d-up","12/292",0.0515102108117474,0.999865496565294,0,0,1.75422492401216,5.20298765979568,"DPP4;ENPEP;ANXA1;IGFBP5;FXYD2;EPHX2;RIPK4;MGST1;DSTN;HMGA2;ATP1B1;XYLB"
"10","Azauridine-1500 mg/kg in CMC-Rat-Kidney-1d-dn","12/293",0.0525973934234824,0.999865496565294,0,0,1.74789126978118,5.14769485394698,"DPP4;ENPEP;IGFBP5;FXYD2;EHHADH;MGST1;DSTN;HMGA2;ACP5;ATP1B1;SLC4A4;MGLL"
"11","Ergocalciferol-15 mg/kg in CMC-Rat-Kidney-3d-up","12/296",0.0559520274442668,0.999865496565294,0,0,1.72915792628109,4.98561293414189,"DPP4;ENPEP;ANXA1;DST;HPGD;FGL2;MGST1;KCTD1;HMGA2;AKAP6;ATP1B1;MGLL"
"12","Sodium Orthovanadate-83 mg/kg in CMC-Rat-Kidney-1d-up","11/270",0.0635377847166477,0.999865496565294,0,0,1.73662379394863,4.78634446557988,"ENPEP;IGFBP5;FXYD2;EPHX2;RIPK4;TCEA3;MGST1;DSTN;ATP1B1;XYLB;MGLL"
"13","Doxorubicin-3 mg/kg in Saline-Rat-Spleen-3d-up","12/305",0.0668686128009012,0.999865496565294,0,0,1.67525960351463,4.5316200937927,"SPON2;GJA1;ANXA1;CD8A;LCK;CD5;TCF7;FGL2;DSTN;PTPN7;ETS1;LAT"
"14","4-Octylphenol-700 mg/kg in Corn Oil-Rat-Kidney-1d-up","11/277",0.0732256331577341,0.999865496565294,0,0,1.69030857398273,4.41882113697253,"IGFBP5;DST;EPHX2;EHHADH;MGST1;HMGA2;ATP1B1;PDLIM5;SLC4A4;XYLB;MGLL"
"15","N-Nitrosodiethylamine-34 mg/kg in Saline-Rat-Kidney-1d-dn","11/282",0.0806916622063129,0.999865496565294,0,0,1.65869117289899,4.17512477062402,"DPP4;IGFBP5;DST;EPHX2;MGST1;DSTN;HMGA2;ACP5;ATP1B1;SLC4A4;XYLB"
"16","2-Acetylaminofluorene-30 mg/kg in CMC-Rat-Kidney-5d-up","11/285",0.0853913833257963,0.999865496565294,0,0,1.64027461372759,4.0359122228533,"ENPEP;IGFBP5;DST;EPHX2;MGST1;CIB2;HMGA2;PDLIM5;SLC4A4;MGLL;BMPR1A"
"17","Netilmicin-40 mg/kg in Saline-Rat-Kidney-28d-dn","11/286",0.0869947298949929,0.999865496565294,0,0,1.63422505307856,3.99062680287994,"DPP4;ENPEP;DST;EPHX2;EHHADH;TCEA3;ACP5;ATP1B1;SLC4A4;XYLB;MGLL"
"18","Diflunisal-207 mg/kg in Corn Oil-Rat-Kidney-1d-up","12/321",0.0895214438306735,0.999865496565294,0,0,1.58719272877505,3.83033584425411,"DPP4;ANXA1;EPHX2;EHHADH;RIPK4;FGL2;MGST1;KCTD1;DSTN;HMGA2;ACP5;ATP1B1"
"19","Bromisovalum-250 mg/kg in Corn Oil-Rat-Heart-1d-up","11/291",0.0952874219556943,0.999865496565294,0,0,1.6046254170458,3.77224563330447,"ANXA1;IGFBP5;DST;VWF;FGL2;MGST1;HMGA2;SCN7A;PI16;PDLIM5;SLC4A4"
"20","Lead(IV) Acetate-600 mg/kg in Saline-Rat-Kidney-5d-dn","11/291",0.0952874219556943,0.999865496565294,0,0,1.6046254170458,3.77224563330447,"DPP4;ENPEP;IGFBP5;DST;FXYD2;EPHX2;TCEA3;MGST1;HMGA2;SLC4A4;XYLB"
"21","Norfloxacin-1500 mg/kg in CMC-Rat-Kidney-5d-up","12/325",0.0958443518434747,0.999865496565294,0,0,1.56658282917545,3.67368332187025,"CPA3;DPP4;ENPEP;ANXA1;IGFBP5;VWF;FXYD2;EPHX2;DSTN;ATP1B1;XYLB;MGLL"
"22","Diethanolamine-620 mg/kg in Water-Rat-Kidney-3d-dn","8/193",0.0959877192411385,0.999865496565294,0,0,1.76375869540426,4.13343026998354,"ENPEP;ANXA1;IGFBP5;FXYD2;EPHX2;RIPK4;SLC4A4;XYLB"
"23","Hydroxyurea-59 mg/kg in Saline-Rat-Spleen-3d-up","11/293",0.0987331822251814,0.999865496565294,0,0,1.59307945972806,3.68851135050786,"SPON2;SBK1;CD8A;LCK;CD5;TCF7;FGL2;CYP1B1;HMGA2;PTPN7;ETS1"
"24","Clofibrate-130 mg/kg in Corn Oil-Rat-Liver-0.25d-up","10/261",0.101324466860879,0.999865496565294,0,0,1.62629144439192,3.72327614138823,"SPON2;VWF;EPHX2;KYNU;EHHADH;MGST1;CIB2;HMGA2;PTPN7;SLC4A4"
