"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Hydroxyurea-400 mg/kg in Saline-Rat-Bone marrow-5d-up","13/307",0.0062641130100259,0.999676913184748,0,0,2.32202935522035,11.7794651610861,"EIF4A1;SPON1;FST;EEF1G;HLA-DMB;S100A16;COL4A1;RASSF5;FXYD2;NPY;CCL5;TXNIP;ADAMTS9"
"2","Chlorambucil-0.6 mg/kg in Corn Oil-Rat-Spleen-3d-up","12/287",0.00929350200092539,0.999676913184748,0,0,2.28753880266075,10.702112653014,"EIF4A1;CLIC5;ORM1;HLA-DMB;RAB4B;RASSF5;FXYD2;NPY;EBF1;PRG2;TXNIP;SCN4A"
"3","Nimodipine-1100 mg/kg in Corn Oil-Rat-Heart-1d-up","13/327",0.0103308778259993,0.999676913184748,0,0,2.17187932705622,9.93117455065067,"EIF4A1;CLIC5;ORM1;S100A1;NPR1;RASL10B;SCHIP1;COL4A1;P4HA2;TXNIP;SCN7A;BVES;KCNK3"
"4","Thioguanine-24 mg/kg in Corn Oil-Rat-Bone marrow-5d-up","12/316",0.0185908773750222,0.999676913184748,0,0,2.06621737270004,8.23405037573762,"EEF1G;EIF4A1;HLA-DMA;HLA-DMB;COL4A1;RASSF5;FXYD2;NPY;PRG2;LCN2;TXNIP;PGLYRP1"
"5","Idarubicin-0.625 mg/kg in Saline-Rat-Heart-1d-up","11/290",0.0238010153249236,0.999676913184748,0,0,2.06083502857696,7.70345705871598,"EIF4A1;CLIC5;PHOSPHO1;S100A1;COL4A1;TXNIP;GMPR;SCN7A;BVES;GNAI1;KCNK3"
"6","Cisplatin-0.5 mg/kg in Saline-Rat-Kidney-28d-up","12/330",0.0250146488968518,0.999676913184748,0,0,1.97382011555965,7.28002823763132,"EEF1G;EIF4A1;SPON1;CXCL9;HLA-DMB;S100A16;COL4A1;FBLIM1;RASSF5;CCL5;LCN2;TXNIP"
"7","Catechol-40 mg/kg in Saline-Rat-Kidney-1d-dn","11/295",0.0265399924078962,0.999676913184748,0,0,2.02402931100114,7.34540990577757,"EEF1G;EIF4A1;SPON1;HLA-DMB;S100A16;S100A1;COL4A1;FST;TXNIP;PTGDS;PRLR"
"8","Ifosfamide-143 mg/kg in Saline-Rat-Spleen-1d-up","11/295",0.0265399924078962,0.999676913184748,0,0,2.02402931100114,7.34540990577757,"EEF1G;CLIC5;HLA-DMA;HLA-DMB;COL4A1;RASSF5;NPY;CCL5;PRG2;TXNIP;SCN7A"
"9","Stavudine-1400 mg/kg in Water-Rat-Heart-5d-dn","11/295",0.0265399924078962,0.999676913184748,0,0,2.02402931100114,7.34540990577757,"EEF1G;CLIC5;PHOSPHO1;HLA-DMB;S100A16;COL4A1;FBLIM1;SCHIP1;TXNIP;GMPR;KCNK3"
"10","Etoposide-188 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","11/300",0.0295001067030666,0.999676913184748,0,0,1.9884971476667,7.00619409129477,"ORM1;HLA-DMB;RAB4B;COL4A1;RASSF5;NPY;CCL5;LCN2;TXNIP;PGLYRP1;ADAMTS9"
"11","Cisapride-250 mg/kg in Corn Oil-Rat-Heart-5d-up","10/269",0.0340689244843179,0.999676913184748,0,0,2.01479878029743,6.8087497797438,"EIF4A1;PHOSPHO1;S100A16;S100A1;COL4A1;SCHIP1;CCL5;TXNIP;TIMM23;KCNK3"
"12","Thioguanine-12 mg/kg in Corn Oil-Rat-Bone marrow-3d-up","11/309",0.0354122602036306,0.999676913184748,0,0,1.92754398693996,6.43934077183967,"EEF1G;ORM1;HLA-DMB;COL4A1;RASSF5;NPY;FST;LCN2;TXNIP;PTGDS;PGLYRP1"
"13","Thioguanine-24 mg/kg in Corn Oil-Rat-Bone marrow-1d-up","11/313",0.0382906949450169,0.999676913184748,0,0,1.90161983175228,6.20412667130025,"EIF4A1;ORM1;HLA-DMA;PHOSPHO1;MYBPC2;HLA-DMB;RAB4B;RASSF5;LCN2;TXNIP;PGLYRP1"
"14","Chlorambucil-4.5 mg/kg in Corn Oil-Rat-Spleen-5d-up","10/276",0.0394716207104235,0.999676913184748,0,0,1.9610684392923,6.33851310449181,"CLIC5;HLA-DMA;CXCL9;SEMA6A;COL4A1;FXYD2;NPY;CCL5;TXNIP;SCN7A"
"15","Pralidoxime Chloride-48 mg/kg in Saline-Rat-Liver-5d-up","10/281",0.0436741331704006,0.999676913184748,0,0,1.92438905521131,6.02526072789173,"ORM1;HLA-DMA;CXCL9;ITIH3;HLA-DMB;COL4A1;FXYD2;CCL5;LCN2;TXNIP"
"16","Lead (II) Acetate-200 mg/kg in Saline-Rat-Liver-5d-up","9/243",0.0438637121527641,0.999676913184748,0,0,2.00423904052936,6.26658987829923,"ORM1;HLA-DMA;CXCL9;HLA-DMB;FXYD2;CCL5;LCN2;TXNIP;TIMM23"
