,0
0,dgat2
1,vnn1
2,mnda
3,rgs2
4,c1orf162
5,slc37a3
6,tmem236
7,znf423
8,khdrbs3
9,lgmn
10,myo1b
11,prx
12,wnt9a
13,tmed6
14,atp10a
15,mrpl16
16,ighmbp2
17,plekhm1
18,dnm2
19,csnk1d
20,pomzp3
21,fmnl1
22,ncbp2
23,ep300
24,pom121
25,setd1a
26,arid1a
27,znf592
28,asxl1
29,polr2a
30,srcap
31,atxn2l
32,pms2cl
33,cherp
34,alyref
35,tmem183a
36,hdgf
37,sox4
38,taf5l
39,atf4
40,c19orf12
41,hnrnpl
42,kdm1a
43,nbpf10
44,rnf103-chmp3
45,nbpf14
46,pom121c
47,rad54l2
48,pogz
49,znf587
50,ankrd52
51,ribc2
52,smc1b
53,eme1
54,slc25a26
55,kif24
56,znf826p
57,tmem128
58,zdhhc4
59,tmem42
60,ociad2
61,ubxn2b
62,dctd
63,erc1
64,or13a1
65,lilrb2
66,wdfy3
67,arhgap24
68,tbl1x
69,slc27a3
70,ptp4a3
71,nlrp12
72,hr
73,unc5b
74,adm2
75,lgi4
76,myo7a
77,abl1
78,tmem63c
79,miox
80,lrrc2
81,nfatc4
82,fcgr1a
83,fcgr2a
84,csta
85,ankrd22
86,tyrobp
87,pygl
88,nlrc4
89,stac3
90,piwil4
91,mst1
92,mst1p2
93,icam5
94,mamdc4
95,hsf4
96,adamts13
97,crtam
98,tnfrsf9
99,cxcr6
100,havcr2
101,ifng
102,akap5
103,herc2p9
104,ppip5k1
105,trrap
106,ube4b
107,mtor
108,znf69
109,aff3
110,ganc
111,mef2a
112,cnih4
113,ormdl2
114,prdm15
115,dip2b
116,zdhhc23
117,fam131b
118,pdgfd
119,aff1
120,slco4c1
121,itgad
122,f2r
123,uts2
124,tbx21
125,ctsw
126,nbpf10
127,nbpf9
128,gtf2ird2b
129,gtf2i
130,ppt2-egfl8
131,zdhhc4
132,tmem42
133,ociad2
134,ubxn2b
135,dctd
136,erc1
137,aspm
138,kif14
139,bub1b
140,cenpe
141,kif18a
142,nuf2
143,cenpf
144,mki67
145,cit
146,fbrsl1
147,sppl2b
148,tnk2
149,idua
150,anapc2
151,fpgs
152,lsm7
153,brf1
154,wdr90
155,ints1
156,tert
157,acap3
158,fkrp
159,ccz1
160,gtf2ird2
161,sdhap1
162,spry2
163,efhc1
164,c4orf36
165,pbld
166,lysmd2
167,tsc2
168,inpp5e
169,pkd1p1
170,notch1
171,slc12a4
172,cdan1
173,snora71b
174,agrn
175,zdhhc8
176,ebf1
177,sh2d4b
178,blnk
179,cd22
180,pax5
181,auts2
182,znf608
183,nav1
184,pou2af1
185,chd7
186,lamc1
187,mzb1
188,serpinb8
189,myh10
190,sntb1
191,tspan10
192,uvrag
193,tcfl5
194,ids
195,sytl3
