"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Bupivacaine","3/10",0.00130208176219518,0.146069961009709,0,0,18.2362278244631,121.157685195978,"KCNA5;SCN4A;KCNK3"
"2","Quizartinib","5/38",0.00172296022491648,0.146069961009709,0,0,6.46674623698694,41.152506791172,"DDR1;PDGFRA;EPHA7;EPHA3;FRK"
"3","Carbamazepine","3/12",0.00230636780541645,0.146069961009709,0,0,14.1822803195352,86.115960120035,"CHRNB4;FZD8;SCN4A"
"4","Nilotinib","6/72",0.00635806557237794,0.285368513994512,0,0,3.88197767145136,19.6351638040559,"DDR1;PDGFRA;INSR;EPHA3;FRK;EPHB3"
"5","Hydrocortisone","2/6",0.00750969773669769,0.285368513994512,0,0,21.2326086956522,103.860580710392,"NOS2;NR3C2"
"6","Levobupivacaine","2/8",0.0135951594394057,0.363418407530252,0,0,14.1536231884058,60.8328594593756,"KCNA5;SCN4A"
"7","Flecainide","2/8",0.0135951594394057,0.363418407530252,0,0,14.1536231884058,60.8328594593756,"KCNA5;SCN4A"
"8","Flavoxate","2/9",0.0172145561461698,0.363418407530252,0,0,12.1310559006211,49.2763486497304,"PDE4B;PDE8B"
"9","Ropivacaine","2/9",0.0172145561461698,0.363418407530252,0,0,12.1310559006211,49.2763486497304,"SCN4A;KCNK3"
"10","Sorafenib","7/122",0.0232418379024487,0.404488819752323,0,0,2.59839464882943,9.77464428094573,"DDR1;PDGFRA;EPHA7;INSR;CDK14;EPHA3;FRK"
"11","Crizotinib","8/150",0.0234177737751345,0.404488819752323,0,0,2.40689954706211,9.03612664998986,"DDR1;EPHA7;INSR;BTK;EPHA3;DCLK1;PTK2;FRK"
"12","Erlotinib","6/100",0.0284635546147529,0.406428230840956,0,0,2.72172452407615,9.6869735705033,"DDR1;PDGFRA;EPHA7;EPHA3;PTK2;FRK"
"13","Lorlatinib","2/12",0.0301520781427333,0.406428230840956,0,0,8.49043478260869,29.72926954446,"FRK;PTK2"
"14","Propafenone","3/32",0.0370224701102319,0.406428230840956,0,0,4.39688979039892,14.4931611347595,"AOX1;KCNA5;KCNK3"
"15","Vandetanib","6/109",0.0408103565700589,0.406428230840956,0,0,2.48275421563618,7.94188233124656,"DDR1;PDGFRA;EPHA7;BTK;EPHA3;FRK"
"16","Mexiletine","2/15",0.0458418229472498,0.406428230840956,0,0,6.53010033444816,20.129415898408,"SCN4A;KCNK3"
"17","Ceritinib","3/35",0.0464609647074469,0.406428230840956,0,0,3.98406862745098,12.2276754932327,"PDGFRA;INSR;BTK"
"18","Entrectinib","2/17",0.0576161887506314,0.406428230840956,0,0,5.65884057971015,16.1500576702552,"INSR;PTK2"
"19","Nimodipine","2/17",0.0576161887506314,0.406428230840956,0,0,5.65884057971015,16.1500576702552,"CNR1;NR3C2"
