"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Benzocaine","4/10",6.23393198098439e-05,0.00242084358594894,0,0,27.2133891213389,263.505020661353,"SCN8A;SCN9A;SCN7A;SCN2A"
"2","Tocainide","4/10",6.23393198098439e-05,0.00242084358594894,0,0,27.2133891213389,263.505020661353,"SCN8A;SCN9A;SCN7A;SCN2A"
"3","Ethotoin","4/10",6.23393198098439e-05,0.00242084358594894,0,0,27.2133891213389,263.505020661353,"SCN8A;SCN9A;SCN7A;SCN2A"
"4","Eslicarbazepine Acetate","4/10",6.23393198098439e-05,0.00242084358594894,0,0,27.2133891213389,263.505020661353,"SCN8A;SCN9A;SCN7A;SCN2A"
"5","Mephenytoin","4/10",6.23393198098439e-05,0.00242084358594894,0,0,27.2133891213389,263.505020661353,"SCN8A;SCN9A;SCN7A;SCN2A"
"6","Phenazopyridine","4/10",6.23393198098439e-05,0.00242084358594894,0,0,27.2133891213389,263.505020661353,"SCN8A;SCN9A;SCN7A;SCN2A"
"7","Rufinamide","4/11",9.60975135273358e-05,0.00319867437883846,0,0,23.3245666467424,215.755672902295,"SCN8A;SCN9A;SCN7A;SCN2A"
"8","Mepivacaine","3/7",0.000452926529153594,0.0124669061214287,0,0,30.5542797494781,235.261251468277,"SCN8A;SCN9A;SCN2A"
"9","Procainamide","4/16",0.000481554313703255,0.0124669061214287,0,0,13.602510460251,103.902660965147,"SCN8A;SCN9A;SCN7A;SCN2A"
"10","Phenytoin","3/8",0.000711727430121101,0.0165832491218216,0,0,24.4421711899791,177.152348248341,"SCN8A;SCN9A;SCN2A"
"11","Ropivacaine","3/9",0.00104852841088679,0.0222097381578747,0,0,20.3674321503132,139.728071849204,"SCN8A;SCN9A;SCN2A"
"12","Lamotrigine","3/10",0.00147118332014787,0.0285654761328711,0,0,17.4569042648375,113.848486942184,"SCN8A;SCN9A;SCN2A"
"13","Tetracaine","3/11",0.00198684321539063,0.0330667477990012,0,0,15.2740083507307,95.0227863606427,"SCN8A;SCN9A;SCN2A"
"14","Digoxin","3/11",0.00198684321539063,0.0330667477990012,0,0,15.2740083507307,95.0227863606427,"FXYD2;RORC;ATP1B1"
"15","Gefitinib","7/78",0.00273617687247126,0.042005480806534,0,0,4.03644180874722,23.8198247095858,"EPHB6;SBK1;LCK;TXK;KIT;PIP4K2C;TNIK"
"16","Erlotinib","8/100",0.00288449653607101,0.042005480806534,0,0,3.56374977068428,20.8422516395786,"EPHB6;SBK1;LCK;TXK;RIPK4;KIT;PIP4K2C;TNIK"
"17","Dasatinib","9/127",0.00367513499202089,0.0503709678318157,0,0,3.12824739312717,17.5374723432532,"EPHB6;ITK;SBK1;LCK;TXK;KIT;TNIK;BMPR1A;NEK11"
"18","Axitinib","7/98",0.00952620590060306,0.110784923137582,0,0,3.14607287449393,14.640906902694,"EPHB6;ITK;LCK;TXK;RIPK4;KIT;TNIK"
"19","Zafirlukast","3/19",0.0101135781935406,0.110784923137582,0,0,7.63387265135699,35.0690672793229,"CYSLTR2;EPHX2;TBXAS1"
"20","Hesperetin","2/7",0.0112326418056335,0.110784923137582,0,0,16.2608333333333,72.9937635923906,"DPP4;CYP1B1"
"21","Safinamide","2/7",0.0112326418056335,0.110784923137582,0,0,16.2608333333333,72.9937635923906,"SCN9A;SCN2A"
"22","Mibefradil","3/20",0.0116887458146991,0.110784923137582,0,0,7.18445290433501,31.9645563021728,"CACNA1I;SCN9A;SCN2A"
"23","Afatinib","4/38",0.0128719755238527,0.110784923137582,0,0,4.79547132660596,20.8732613305949,"EPHB6;SBK1;LCK;TXK"
"24","Quizartinib","4/38",0.0128719755238527,0.110784923137582,0,0,4.79547132660596,20.8732613305949,"EPHB6;LCK;KIT;TNIK"
"25","Pazopanib","7/105",0.0135978557086732,0.110784923137582,0,0,2.9203007518797,12.5509946324922,"EPHB6;ITK;LCK;TXK;KIT;PIP4K2C;TNIK"
"26","Acetyldigitoxin","2/8",0.0147396249668027,0.110784923137582,0,0,13.55,57.1432745747344,"FXYD2;ATP1B1"
"27","Deslanoside","2/8",0.0147396249668027,0.110784923137582,0,0,13.55,57.1432745747344,"FXYD2;ATP1B1"
"28","Zileuton","2/8",0.0147396249668027,0.110784923137582,0,0,13.55,57.1432745747344,"CYSLTR2;EPHX2"
