"","Cell_type","predicted_RF","predicted_KNN","predicted_XGB","all_predictions_same","common_value"
"1","Control","Control","Control","Control",TRUE,"Control"
"2","Control","Control","Control","Control",TRUE,"Control"
"3","Control","Control","Control","Control",TRUE,"Control"
"4","Control","Control","Control","Control",TRUE,"Control"
"5","Control","Control","Control","Control",TRUE,"Control"
"6","Control","Control","Control","Control",TRUE,"Control"
"7","Control","Control","Control","Control",TRUE,"Control"
"8","Control","Control","Control","Control",TRUE,"Control"
"9","Control","Control","Control","Control",TRUE,"Control"
"10","Control","Control","Control","Control",TRUE,"Control"
"11","Control","Control","Control","Control",TRUE,"Control"
"12","Control","Control","Control","Control",TRUE,"Control"
"13","Control","Control","Control","Control",TRUE,"Control"
"14","Control","Control","Control","Control",TRUE,"Control"
"15","Control","Control","Control","Control",TRUE,"Control"
"16","Control","Control","Control","Control",TRUE,"Control"
"17","Control","Control","Control","Control",TRUE,"Control"
"18","Control","Control","Control","Control",TRUE,"Control"
"19","Control","Control","Control","Control",TRUE,"Control"
"20","Control","Control","Control","Control",TRUE,"Control"
"21","Control","Control","Control","Control",TRUE,"Control"
"22","Control","Control","Control","Control",TRUE,"Control"
"23","Control","Control","Control","Control",TRUE,"Control"
"24","Control","Control","Control","Control",TRUE,"Control"
"25","Control","Control","Control","Control",TRUE,"Control"
"26","Control","Control","Control","Control",TRUE,"Control"
"27","Control","Control","Control","Control",TRUE,"Control"
"28","Control","Control","Control","Control",TRUE,"Control"
"29","Control","Control","Control","Control",TRUE,"Control"
"30","Control","Control","Control","Control",TRUE,"Control"
"31","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"32","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE,"9836/3 - Pre-B ALL"
"33","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"34","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"35","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE,"9837/3 - Pre-T ALL"
"36","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"37","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"38","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"39","Unkown","T Cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE,"9836/3 - Pre-B ALL"
"40","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"41","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"42","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"43","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE,"9837/3 - Pre-T ALL"
"44","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"45","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE,"9837/3 - Pre-T ALL"
"46","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"47","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"48","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE,"T Cell"
"49","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"50","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"51","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"52","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"53","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"54","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE,"9836/3 - Pre-B ALL"
"55","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE,"9837/3 - Pre-T ALL"
"56","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"57","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE,"9837/3 - Pre-T ALL"
"58","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE,"9837/3 - Pre-T ALL"
"59","Unkown","T Cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE,"9836/3 - Pre-B ALL"
"60","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
"61","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE,"9837/3 - Pre-T ALL"
"62","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE,"9836/3 - Pre-B ALL"
